Gavia stellata	Red-throated Loon	G_stellata	Ga_st
Nucifraga columbiana	Clark's Nutcracker	N_columbiana	Nu_co
Pica nuttalli	Yellow-billed Magpie	P_nuttalli	Pi_nu
Corvus brachyrhynchos	American Crow	C_brachyrhynchos	Co_br
Corvus corax	Common Raven	C_corax	Co_co
Eremophila alpestris	Horned Lark	E_alpestris	Er_al
Progne subis	Purple Martin	P_subis	Pr_su
Tachycineta bicolor	Tree Swallow	T_bicolor	Ta_bi
Tachycineta thalassina	Violet-green Swallow	T_thalassina	Ta_th
Stelgidopteryx serripennis	Northern Rough-winged Swallow	S_serripennis	St_se
Petrochelidon pyrrhonota	Cliff Swallow	P_pyrrhonota	Pe_py
Hirundo rustica	Barn Swallow	H_rustica	Hi_ru
Poecile gambeli	 Mountain Chickadee	P_gambeli	Po_ga
Poecile rufescens	 Chestnut-backed Chickadee	P_rufescens	Po_ru
Baeolophus inornatus	Oak Titmouse	B_inornatus	Ba_in
Psaltriparus minimus	Bushtit	P_minimus	Ps_mi
Sitta canadensis	Red-breasted Nuthatch	S_canadensis	Si_ca
Sitta carolinensis	White-breasted Nuthatch	S_carolinensis	Si_ca
Certhia americana	Brown Creeper	C_americana	Ce_am
Thryomanes bewickii	Bewick's Wren	T_bewickii	Th_be
Troglodytes aedon	House Wren	T_aedon	Tr_ae
Troglodytes troglodytes	Winter Wren	T_troglodytes	Tr_tr
Salpinctes obsoletus	Rock Wren	S_obsoletus	Sa_ob
Catherpes mexicanus	Canyon Wren	C_mexicanus	Ca_me
Cinclus mexicanus	American Dipper	C_mexicanus	Ci_me
Chamaea fasciata	Wrentit	C_fasciata	Ch_fa
Regulus satrapa	Golden-crowned Kinglet	R_satrapa	Re_sa
Regulus calendula	Ruby-crowned Kinglet	R_calendula	Re_ca
Polioptila caerulea	Blue-gray Gnatcatcher	P_caerulea	Po_ca
Sialia mexicana	Western Bluebird	S_mexicana	Si_me
Myadestes townsendi	Townsend's Solitaire	M_townsendi	My_to
Ixoreus naevius	Varied Thrush	I_naevius	Ix_na
Turdus migratorius	American Robin	T_migratorius	Tu_mi
Catharus ustulatus	Swainson's Thrush	C_ustulatus	Ca_us
Catharus guttatus	Hermit Thrush	C_guttatus	Ca_gu
Mimus polyglottos	Northern Mockingbird	M_polyglottos	Mi_po
Toxostoma rufum	Brown Thrasher	T_rufum	To_ru
Toxostoma redivivum	California Thrasher	T_redivivum	To_re
Sturnus vulgaris	European Starling	S_vulgaris	St_vu
Anthus rubescens	American Pipit	A_rubescens	An_ru
Phainopepla nitens	Phainopepla	P_nitens	Ph_ni
Bombycilla cedrorum	Cedar Waxwing	B_cedrorum	Bo_ce
Vermivora celata	Orange-crowned Warbler	V_celata	Ve_ce
Vermivora ruficapilla	Nashville Warbler	V_ruficapilla	Ve_ru
Parula americana	Northern Parula	P_americana	Pa_am
Dendroica petechia	Yellow Warbler	D_petechia	De_pe
Dendroica coronata	Yellow-rumped Warbler	D_coronata	De_co
Dendroica nigrescens	Black-throated Gray Warbler	D_nigrescens	De_ni
Dendroica townsendi	Townsend's Warbler	D_townsendi	De_to
Dendroica occidentalis	Hermit Warbler	D_occidentalis	De_oc
Dendroica palmarum	Palm Warbler	D_palmarum	De_pa
Mniotilta varia	Black-and-white Warbler	M_varia	Mn_va
Oporornis tolmiei	Macgillivray's Warbler	O_tolmiei	Op_to
Geothlypis trichas	Common Yellowthroat	G_trichas	Ge_tr
Wilsonia pusilla	Wilson's Warbler	W_pusilla	Wi_pu
Icteria virens	Yellow-breasted Chat	I_virens	Ic_vi
Piranga ludoviciana	Western Tanager	P_ludoviciana	Pi_lu
Piranga rubra	Summer Tanager	P_rubra	Pi_ru
Pheucticus melanocephalus	Black-headed Grosbeak	P_melanocephalus	Ph_me
Guiraca caerulea	Blue Grosbeak	G_caerulea	Gu_ca
Passerina amoena	Lazuli Bunting	P_amoena	Pa_am
Pipilo chlorurus	Green-tailed Towhee	P_chlorurus	Pi_ch
Pipilo maculatus	Spotted Towhee	P_maculatus	Pi_ma
Pipilo crissalis	California Towhee	P_crissalis	Pi_cr
Aimophila ruficeps	Rufous-crowned Sparrow	A_ruficeps	Ai_ru
Spizella passerina	Chipping Sparrow	S_passerina	Sp_pa
Spizella atrogularis	Black-chinned Sparrow	S_atrogularis	Sp_at
Pooecetes gramineus	Vesper Sparrow	P_gramineus	Po_gr
Chondestes grammacus	Lark Sparrow	C_grammacus	Ch_gr
Amphispiza bilineata	Black-throated Sparrow	A_bilineata	Am_bi
Amphispiza belli	Sage Sparrow	A_belli	Am_be
Passerculus sandwichensis	Savannah Sparrow	P_sandwichensis	Pa_sa
Junco hyemalis	Dark-eyed Junco	J_hyemalis	Ju_hy
Zonotrichia atricapilla	Golden-crowned Sparrow	Z_atricapilla	Zo_at
Zonotrichia albicollis	White-throated Sparrow	Z_albicollis	Zo_al
Zonotrichia leucophrys	White-crowned Sparrow	Z_leucophrys	Zo_le
Zonotrichia querula	Harris's Sparrow	Z_querula	Zo_qu
Ammodramus savannarum	Grasshopper Sparrow	A_savannarum	Am_sa
Melospiza lincolnii	Lincoln's Sparrow	M_lincolnii	Me_li
Melospiza melodia	Song Sparrow	M_melodia	Me_me
Passerella iliaca	Fox Sparrow	P_iliaca	Pa_il
Calcarius lapponicus	Lapland Longspur	C_lapponicus	Ca_la
Sturnella neglecta	Western Meadowlark	S_neglecta	St_ne
Molothrus ater	Brown-headed Cowbird	M_ater	Mo_at
Agelaius phoeniceus	Red-winged Blackbird	A_phoeniceus	Ag_ph
Agelaius tricolor	Tricolored Blackbird	A_tricolor	Ag_tr
Euphagus cyanocephalus	Brewer's Blackbird	E_cyanocephalus	Eu_cy
Icterus bullockii	Bullock's Oriole	I_bullockii	Ic_bu
Icterus cucullatus	Hooded Oriole	I_cucullatus	Ic_cu
Icterus parisorum	Scott's Oriole	I_parisorum	Ic_pa
Carpodacus purpureus	Purple Finch	C_purpureus	Ca_pu
Carpodacus mexicanus	House Finch	C_mexicanus	Ca_me
Carduelis pinus	Pine Siskin	C_pinus	Ca_pi
Carduelis lawrenci	Lawrence's Goldfinch	C_lawrenci	Ca_la
Carduelis psaltria	Lesser Goldfinch	C_psaltria	Ca_ps
Carduelis tristis	American Goldfinch	C_tristis	Ca_tr
Passer domesticus	House Sparrow	P_domesticus	Pa_do
