SomeHeader
G_stellata	Ga_st	Gavia stellata	Red-throated Loon
D_occidentalis	De_oc	Dendroica occidentalis	Hermit Warbler
D_palmarum	De_pa	Dendroica palmarum	Palm Warbler
M_varia	Mn_va	Mniotilta varia	Black-and-white Warbler
O_tolmiei	Op_to	Oporornis tolmiei	Macgillivray's Warbler
G_trichas	Ge_tr	Geothlypis trichas	Common Yellowthroat
W_pusilla	Wi_pu	Wilsonia pusilla	Wilson's Warbler
I_virens	Ic_vi	Icteria virens	Yellow-breasted Chat
P_ludoviciana	Pi_lu	Piranga ludoviciana	Western Tanager
P_rubra	Pi_ru	Piranga rubra	Summer Tanager
P_melanocephalus	Ph_me	Pheucticus melanocephalus	Black-headed Grosbeak
G_caerulea	Gu_ca	Guiraca caerulea	Blue Grosbeak
P_amoena	Pa_am	Passerina amoena	Lazuli Bunting
P_chlorurus	Pi_ch	Pipilo chlorurus	Green-tailed Towhee
P_maculatus	Pi_ma	Pipilo maculatus	Spotted Towhee
P_crissalis	Pi_cr	Pipilo crissalis	California Towhee
A_ruficeps	Ai_ru	Aimophila ruficeps	Rufous-crowned Sparrow
S_passerina	Sp_pa	Spizella passerina	Chipping Sparrow
S_atrogularis	Sp_at	Spizella atrogularis	Black-chinned Sparrow
P_gramineus	Po_gr	Pooecetes gramineus	Vesper Sparrow
C_grammacus	Ch_gr	Chondestes grammacus	Lark Sparrow
A_bilineata	Am_bi	Amphispiza bilineata	Black-throated Sparrow
A_belli	Am_be	Amphispiza belli	Sage Sparrow
P_sandwichensis	Pa_sa	Passerculus sandwichensis	Savannah Sparrow
J_hyemalis	Ju_hy	Junco hyemalis	Dark-eyed Junco
Z_atricapilla	Zo_at	Zonotrichia atricapilla	Golden-crowned Sparrow
Z_albicollis	Zo_al	Zonotrichia albicollis	White-throated Sparrow
Z_leucophrys	Zo_le	Zonotrichia leucophrys	White-crowned Sparrow
Z_querula	Zo_qu	Zonotrichia querula	Harris's Sparrow
A_savannarum	Am_sa	Ammodramus savannarum	Grasshopper Sparrow
M_lincolnii	Me_li	Melospiza lincolnii	Lincoln's Sparrow
M_melodia	Me_me	Melospiza melodia	Song Sparrow
P_iliaca	Pa_il	Passerella iliaca	Fox Sparrow
C_lapponicus	Ca_la	Calcarius lapponicus	Lapland Longspur
S_neglecta	St_ne	Sturnella neglecta	Western Meadowlark
M_ater	Mo_at	Molothrus ater	Brown-headed Cowbird
A_phoeniceus	Ag_ph	Agelaius phoeniceus	Red-winged Blackbird
A_tricolor	Ag_tr	Agelaius tricolor	Tricolored Blackbird
E_cyanocephalus	Eu_cy	Euphagus cyanocephalus	Brewer's Blackbird
I_bullockii	Ic_bu	Icterus bullockii	Bullock's Oriole
I_cucullatus	Ic_cu	Icterus cucullatus	Hooded Oriole
I_parisorum	Ic_pa	Icterus parisorum	Scott's Oriole
C_purpureus	Ca_pu	Carpodacus purpureus	Purple Finch
C_mexicanus	Ca_me	Carpodacus mexicanus	House Finch
C_pinus	Ca_pi	Carduelis pinus	Pine Siskin
C_lawrenci	Ca_la	Carduelis lawrenci	Lawrence's Goldfinch
C_psaltria	Ca_ps	Carduelis psaltria	Lesser Goldfinch
C_tristis	Ca_tr	Carduelis tristis	American Goldfinch
P_domesticus	Pa_do	Passer domesticus	House Sparrow
